"mmdd","dd","Qw","Qw_max","Qw_min","Qw_std","Qs","Qs_max","Qs_min","Qs_std","Qs_m","Qs_m_max","Qs_m_min","Qs_m_std","Qw_m.avg","Qs_m_m.avg"
"116",426,115,630.8659756098,1820,0,496.6634533203,4.6821804878,20,0,5.3329048296,1.76686056143396,7.54716981132075,0,2.01241691683019,657.460993031371,2.12227278943396
"117",427,116,665.9592682927,2030,0,535.1020418312,5.9238487805,30.5,0,7.8206786455,2.23541463415094,11.5094339622642,0,2.95119948886792,670.885731707329,2.22873971468464
"118",428,117,706.1317073171,2360,0,576.3200176287,6.3405378049,34.1,0,8.0749454308,2.39265577543396,12.8679245283019,0,3.04714921916981,684.845418118486,2.3958623627655
"119",429,118,715.0780487805,2560,0,616.2411084601,7.2876780488,42.3,0,11.0136397317,2.75006718822642,15.9622641509434,0,4.15609046479245,695.018937282257,2.51527928473315
"120",430,119,715.0780487805,2600,0,636.3808955776,7.156597561,44.8,0,10.7780649602,2.70060285320755,16.9056603773585,0,4.06719432460377,707.532857142871,2.62709349812938
"121",501,120,719.5073170732,2490,0,629.6217945681,7.9272426829,48.9,0,12.23493987,2.99141233316981,18.4528301886792,0,4.61695844150943,715.379442508729,2.7055806455903
"122",502,121,712.512195122,2350,0,592.7960480617,7.3403453659,33.5,0,9.1152013624,2.76994164750943,12.6415094339623,0,3.43969862732076,717.522648083643,2.79267557688949
"123",503,122,718.4634146341,2510,0,578.4921070145,6.7563341463,27.6,0,7.5587325793,2.54956005520755,10.4150943396226,0,2.85235191671698,722.259059233471,2.87404176057143
"124",504,123,720.8853658537,2560,0,557.5246763871,7.3797853659,33.9,0,8.4462849559,2.78482466637736,12.7924528301887,0,3.18727734184906,727.190940766571,2.93477530865768
"125",505,124,721.1341463415,2480,0,553.8520870276,7.9561487805,37.6,0,9.5912993067,3.0023202945283,14.188679245283,0,3.6193582289434,731.892508710814,2.91691093419407
